Sender,Subject,Label,predicted_risk_level,predicted_risk_score,certainty_level,coordination_explanation,linguistic_risk_score,linguistic_certainty,technical_risk_score,technical_certainty,threat_intel_risk_score,threat_intel_certainty,processing_time_seconds,processed_timestamp,sender_missing,status
,start date : 12 / 21 / 01 ; hourahead hour : 14 ;,0,LOW,0.06,INCONCLUSIVE,"Based on the email security analysis, the overall risk assessment is low, with a risk score of 0.06 and an inconclusive certainty level. The primary contributing factor to this score is the technical validation agent, which flagged the email due to its unusual subject line format and internal sender address, though it couldn't definitively confirm malicious intent. The linguistic and threat intelligence agents found no significant issues, with the former detecting no phishing language and the latter finding no matches in known malware databases. While the technical validation agent raised some concerns, the lack of corroborating evidence from other agents results in an overall low risk assessment.",0.0,INCONCLUSIVE,0.3,INCONCLUSIVE,0.0,LOW,19.92,2025-11-16T21:42:59.071152,True,success
,couple of questions,0,MEDIUM,0.4599999999999999,LOW,"Based on the email security analysis, this email presents a medium risk, but with low certainty, suggesting that while there are some concerning indicators, the evidence is not conclusive. The primary contributing factors to this assessment are the generic subject line and detailed scheduling information detected by the Linguistic Agent, and a low-certainty match found by the Threat Intelligence Agent in known threat databases. The Linguistic Agent's findings of a generic subject line and internal sender address, combined with the Threat Intelligence Agent's low-certainty match, create a convergence of indicators that raise suspicion but do not definitively confirm malicious intent. The Technical Validation Agent's inconclusive results further contribute to the overall uncertainty, as it found no definitive technical red flags.",0.5,MEDIUM,0.3,INCONCLUSIVE,0.5,LOW,23.56,2025-11-16T21:43:22.637545,True,success
,re : fw : enron center north / enron center south damage & restoration,0,LOW,0.36,LOW,"Based on the email security analysis, the overall risk assessment is LOW, with a risk score of 0.36 and low certainty. The PRIMARY contributing factors to this assessment are the linguistic patterns detected by the Linguistic Agent, which identified potential phishing language and gave a risk score of 0.50, contributing 0.30 to the final score. The Technical Validation Agent found inconclusive technical indicators, while the Threat Intelligence Agent found no matches in known threat databases, both contributing minimally to the final score. The convergence of these indicators suggests that while the email's language may raise some concerns, the lack of technical red flags and threat intelligence matches lowers the overall risk assessment.",0.5,LOW,0.3,INCONCLUSIVE,0.0,LOW,82.45,2025-11-16T21:44:45.088465,True,success
,wassup ! ! ! ! ! !,0,LOW,0.36,LOW,"Based on the email security analysis, the overall risk assessment is low, with a risk score of 0.36 and low certainty. The primary contributing factor to this assessment is the linguistic analysis, which detected informal and minimal content, along with a low BERT model confidence score of 0.5, indicating uncertainty in the email's legitimacy. Although the technical validation and threat intelligence agents did not find significant issues, the linguistic red flags suggest caution. The convergence of these indicators highlights the importance of scrutinizing unusual email patterns, even when other checks do not reveal immediate threats.",0.5,LOW,0.3,INCONCLUSIVE,0.0,INCONCLUSIVE,16.27,2025-11-16T21:45:01.362088,True,success
"""monkey.org""",.. jose@monkey.org,1,MEDIUM,0.42,MEDIUM,"Based on the email security analysis, this email presents a medium risk, primarily due to the sender's domain being flagged in known threat databases, as identified by the Threat Intelligence Agent. Although the Linguistic Agent found minimal content with no urgent language or authority impersonation, the Technical Validation Agent confirmed the domain's age is only 30 days, which is unusually young for a legitimate business domain. The convergence of these indicators—the domain's presence in threat databases and its recent creation—suggests a potential phishing attempt, despite the lack of linguistic red flags. The overall risk score of 0.42, with a medium certainty level, indicates that while the email may not be overtly malicious, it warrants caution and further investigation.",0.5,MEDIUM,0.1,DEFINITIVE,0.5,LOW,22.53,2025-11-16T21:45:23.891704,False,success
,australian energy 2000,0,LOW,0.36,LOW,"Based on the email security analysis, the overall risk assessment is LOW, with a risk score of 0.36 and a LOW certainty level. The PRIMARY contributing factors to this assessment are the unusual greeting ""dzien dobry"" in an otherwise English email, a request for additional commitments beyond the original agreement, and the use of flattery to manipulate the recipient, all identified by the Linguistic Agent. The Linguistic Agent detected these phishing language indicators, which, when combined with the inconclusive findings from the Technical Validation Agent and no matches in the Threat Intelligence databases, resulted in the LOW risk score. The domain age and ML model confidence did not significantly impact the final assessment due to the low weights assigned to the Technical Validation and Threat Intelligence Agents.",0.5,MEDIUM,0.3,INCONCLUSIVE,0.0,LOW,27.71,2025-11-16T21:45:51.599323,True,success
,new network upgrade proposal,0,LOW,0.36,LOW,"Based on the email security analysis, the overall risk assessment is low, with a risk score of 0.36 and low certainty. The primary contributing factors to this assessment are the linguistic irregularities detected by the Linguistic Agent, which identified non-standard characters, unusual content structure, and a lack of clear social engineering tactics, contributing a score of 0.30. The Technical Validation Agent found no significant technical red flags, and the Threat Intelligence Agent did not find any matches in known threat databases, both contributing minimally to the final score. The convergence of these indicators suggests that while the email contains some unusual linguistic elements, there is no strong evidence of a malicious intent or known threats, leading to the overall low risk assessment.",0.5,MEDIUM,0.3,INCONCLUSIVE,0.0,LOW,22.98,2025-11-16T21:46:14.582677,True,success
,enron houston announcement,0,MEDIUM,0.4599999999999999,LOW,"Based on the email security analysis, this message has been assessed as a MEDIUM risk, but with a LOW certainty level, indicating that while there are some concerning factors, the overall threat is not definitive. The primary contributors to this assessment are the Linguistic and Threat Intelligence agents; the Linguistic Agent found no urgent or authoritative language, which is unusual for a legitimate internal announcement, while the Threat Intelligence Agent identified that the URL in the email matches entries in known malware databases. Although the Technical Validation agent's findings were inconclusive, the convergence of these indicators suggests that the email may be part of a phishing campaign, despite the lack of typical urgency or fear-based language. The overall risk score of 0.46 is driven by the combination of these factors, with the Linguistic Agent contributing the most weight to the final assessment.",0.5,LOW,0.3,INCONCLUSIVE,0.5,LOW,31.21,2025-11-16T21:46:45.791656,True,success
,re : error repairs,0,LOW,0.36,LOW,"Based on the email security analysis, the overall risk assessment for this email is low, with a risk score of 0.36 and low certainty. The primary contributing factor to this assessment is the linguistic analysis, which detected no urgency, authority impersonation, or fear-based language, contributing a score of 0.30 to the final risk. While the technical validation and threat intelligence agents did not find significant indicators of risk, the linguistic agent's findings, combined with the lack of matches in known threat databases, suggest that this email is likely benign. The convergence of these indicators, along with the low certainty level, indicates that this email poses minimal risk.",0.5,MEDIUM,0.3,INCONCLUSIVE,0.0,LOW,39.89,2025-11-16T21:47:25.683659,True,success
"""HelpDesk monkey.org"" <""HelpDesk monkey.org"">",Notification | You have (7) failed email deliveries,1,MEDIUM,0.6997599999999999,DEFINITIVE,"Based on the email security analysis, this email presents a medium risk, with a definitive certainty level, primarily due to the linguistic content. The Linguistic Agent identified several red flags, including urgency (""Action Required""), authority impersonation (""HelpDesk monkey.org""), and fear-based language (""ATTENTION"", ""Suspended incoming message""), contributing significantly to the overall risk score. While the Technical Validation Agent found some inconclusive technical indicators, the Threat Intelligence Agent did not find any matches in known threat databases, which is why the overall risk is not higher. The convergence of these indicators, particularly the strong linguistic signals, suggests that this email is likely a phishing attempt.",0.9996,DEFINITIVE,0.5,INCONCLUSIVE,0.0,LOW,22.24,2025-11-16T21:47:47.923348,False,success
